uid	tcga_g5_6641_01a_11r_a32z_07_bed	tcga_ag_3605_01a_01r_0826_07_bed	tcga_ag_a025_01a_01r_a00a_07_bed	tcga_ei_6883_01a_31r_1928_07_bed	tcga_af_3400_11a_01r_a32z_07_bed	tcga_ei_6512_01a_11r_1736_07_bed	tcga_dc_5869_01a_01r_1660_07_bed	tcga_af_a56k_01a_32r_a39d_07_bed	tcga_af_2691_01a_01r_0821_07_bed	tcga_ag_3882_01a_01r_0905_07_bed	tcga_ah_6549_01a_11r_1830_07_bed	tcga_ei_6509_01a_11r_1736_07_bed	tcga_dc_6155_01a_11r_1660_07_bed	tcga_ag_a01j_01a_01r_a00a_07_bed	tcga_ag_3902_01a_01r_a32z_07_bed	tcga_f5_6464_01a_11r_1736_07_bed	tcga_ag_3901_01a_01r_1119_07_bed	tcga_af_6136_01a_11r_1830_07_bed	tcga_ei_6508_01a_11r_1736_07_bed	tcga_ag_3742_11a_01r_1660_07_bed	tcga_dc_6158_01a_11r_1660_07_bed	tcga_af_a56n_01a_12r_a39d_07_bed	tcga_f5_6702_01a_11r_1830_07_bed	tcga_dy_a1dg_01a_11r_a32y_07_bed	tcga_af_2693_01a_02r_1736_07_bed	tcga_f5_6863_01a_11r_1928_07_bed	tcga_af_5654_01a_01r_1660_07_bed	tcga_dc_6681_01a_11r_a32z_07_bed	tcga_ag_a01n_01a_01r_a00a_07_bed	tcga_dc_4749_01a_01r_1736_07_bed	tcga_bm_6198_01a_11r_1736_07_bed	tcga_ei_6506_01a_11r_1736_07_bed	tcga_ag_3742_01a_11r_1660_07_bed	tcga_ag_3728_01a_01r_0905_07_bed	tcga_ag_3609_01a_02r_0826_07_bed	tcga_ci_6623_01b_11r_1830_07_bed	tcga_ag_a011_01a_01r_a002_07_bed	tcga_dc_6156_01a_11r_1660_07_bed	tcga_ag_4005_01a_01r_1119_07_bed	tcga_ah_6544_01a_11r_1830_07_bed	tcga_af_3400_01a_01r_0821_07_bed	tcga_af_6655_01a_11r_1830_07_bed	tcga_ag_a00y_01a_02r_a002_07_bed	tcga_ag_3725_01a_11r_1736_07_bed	tcga_ag_3727_01a_01r_0905_07_bed	tcga_ag_3731_11a_01r_1736_07_bed	tcga_ag_a00c_01a_01r_a002_07_bed	tcga_ag_3731_01a_11r_1736_07_bed	tcga_ag_3578_01a_01r_0821_07_bed	tcga_ef_5831_01a_01r_1660_07_bed	tcga_ag_a032_01a_01r_a00a_07_bed	tcga_ci_6624_01c_11r_1830_07_bed	tcga_ci_6620_01a_11r_1830_07_bed	tcga_af_2689_11a_01r_a32z_07_bed	tcga_dy_a1de_01a_11r_a155_07_bed	tcga_ag_3890_01a_01r_1119_07_bed	tcga_ag_3601_01a_01r_0826_07_bed	tcga_af_2692_11a_01r_a32z_07_bed	tcga_ag_a01y_01a_41r_a083_07_bed	tcga_f5_6861_01a_11r_1928_07_bed	tcga_af_2692_01a_01r_0821_07_bed	tcga_af_2687_01a_02r_1736_07_bed	tcga_ag_a02n_01a_11r_a083_07_bed	tcga_ag_4008_01a_01r_1119_07_bed	tcga_dc_6157_01a_11r_1660_07_bed	tcga_ah_6547_01a_11r_1830_07_bed	tcga_ag_3591_01a_01r_1736_07_bed	tcga_ag_3575_01a_01r_0821_07_bed	tcga_ei_6514_01a_11r_1736_07_bed	tcga_ag_a01w_01a_21r_a083_07_bed	tcga_dc_5337_01a_01r_1660_07_bed	tcga_ag_3587_01a_01r_0821_07_bed	tcga_ag_3592_01a_02r_1736_07_bed	tcga_f5_6465_01a_11r_1736_07_bed	tcga_ag_3883_01a_02r_0905_07_bed	tcga_ei_6885_01a_11r_1928_07_bed	tcga_ag_3893_01a_01r_1119_07_bed	tcga_ag_3600_01a_01r_0826_07_bed	tcga_ah_6903_01a_11r_1928_07_bed	tcga_ag_3584_01a_01r_0821_07_bed	tcga_ag_3894_01a_01r_1119_07_bed	tcga_ei_6882_01a_11r_1928_07_bed	tcga_ag_3892_01a_01r_1119_07_bed	tcga_ag_3726_01a_02r_0905_07_bed	tcga_ag_3999_01a_01r_1119_07_bed	tcga_ag_3885_01a_01r_0905_07_bed	tcga_cl_4957_01a_01r_1736_07_bed	tcga_ag_3599_01a_02r_0826_07_bed	tcga_af_3913_01a_02r_1119_07_bed	tcga_ag_3581_01a_01r_0821_07_bed	tcga_f5_6571_01a_12r_1830_07_bed	tcga_f5_6810_01a_11r_1830_07_bed	tcga_ef_5830_01a_01r_1660_07_bed	tcga_af_a56l_01a_31r_a39d_07_bed	tcga_ag_3583_01a_01r_0821_07_bed	tcga_ag_3580_01a_01r_0821_07_bed	tcga_ag_a002_01a_01r_a002_07_bed	tcga_ag_3881_01a_01r_0905_07_bed	tcga_dy_a1df_01a_11r_a155_07_bed	tcga_ag_3594_01a_02r_0821_07_bed	tcga_ah_6643_01a_11r_1830_07_bed	tcga_ei_6510_01a_11r_1736_07_bed	tcga_af_6672_01a_11r_1830_07_bed	tcga_ag_a014_01a_02r_a002_07_bed	tcga_af_2691_11a_01r_a32z_07_bed	tcga_ag_4007_01a_01r_1119_07_bed	tcga_ag_a023_01a_01r_a00a_07_bed	tcga_af_5654_11a_11r_1660_07_bed	tcga_ag_3593_01a_01r_0821_07_bed	tcga_ag_3887_01a_01r_1119_07_bed	tcga_ei_7002_01a_11r_1928_07_bed	tcga_ag_3732_11a_01r_1660_07_bed	tcga_ag_3725_11a_01r_1736_07_bed	tcga_g5_6235_01a_11r_1736_07_bed	tcga_ag_3611_01a_01r_0826_07_bed	tcga_dc_6154_01a_31r_1928_07_bed	tcga_ag_a01l_01a_01r_a002_07_bed	tcga_ah_6643_11a_01r_1830_07_bed	tcga_af_3911_01a_01r_1736_07_bed	tcga_ag_4001_01a_02r_1119_07_bed	tcga_ag_a016_01a_01r_a002_07_bed	tcga_dy_a1dd_01a_21r_a155_07_bed	tcga_ag_a02g_01a_01r_a00a_07_bed	tcga_ag_3898_01a_01r_1119_07_bed	tcga_ag_a036_01a_12r_a083_07_bed	tcga_f5_6812_01a_11r_1830_07_bed	tcga_ei_6513_01a_21r_1736_07_bed	tcga_ag_a020_01a_21r_a083_07_bed	tcga_af_2690_01a_02r_1736_07_bed	tcga_ag_3909_01a_01r_1119_07_bed	tcga_dt_5265_01a_21r_1830_07_bed	tcga_ag_3732_01a_11r_1660_07_bed	tcga_ag_a015_01a_01r_a002_07_bed	tcga_ci_6622_01a_11r_1830_07_bed	tcga_ei_6881_01a_11r_a32z_07_bed	tcga_ei_6884_01a_11r_1928_07_bed	tcga_ag_a008_01a_01r_a002_07_bed	tcga_ah_6897_01a_11r_1928_07_bed	tcga_ag_4015_01a_01r_1119_07_bed	tcga_cl_5917_01a_11r_1660_07_bed	tcga_ag_a026_01a_01r_a00a_07_bed	tcga_f5_6814_01a_31r_1928_07_bed	tcga_dy_a1dc_01a_31r_a155_07_bed	tcga_ci_6619_01b_11r_1830_07_bed	tcga_dy_a0xa_01a_11r_a155_07_bed	tcga_af_4110_01a_02r_1736_07_bed	tcga_dc_6682_01a_11r_1830_07_bed	tcga_ag_3598_01a_01r_0826_07_bed	tcga_ag_3582_01a_01r_0821_07_bed	tcga_ag_3878_01a_02r_0905_07_bed	tcga_f5_6811_01a_11r_1830_07_bed	tcga_ag_4021_01a_01r_1736_07_bed	tcga_ag_3602_01a_02r_0826_07_bed	tcga_ag_3586_01a_02r_0821_07_bed	tcga_cl_5918_01a_11r_1660_07_bed	tcga_dy_a1h8_01a_21r_a155_07_bed	tcga_f5_6813_01a_11r_1830_07_bed	tcga_ag_3612_01a_01r_0826_07_bed	tcga_dc_6683_01a_11r_1830_07_bed	tcga_ag_3574_01a_01r_0821_07_bed	tcga_ag_a02x_01a_01r_a00a_07_bed	tcga_g5_6572_02a_12r_1830_07_bed	tcga_g5_6572_01a_11r_1830_07_bed	tcga_ag_a00h_01a_01r_a00a_07_bed	tcga_dc_6160_01a_11r_1660_07_bed	tcga_g5_6233_01a_11r_1736_07_bed	tcga_f5_6864_01a_11r_1928_07_bed	tcga_ag_4022_01a_01r_1736_07_bed	tcga_ag_3608_01a_01r_0826_07_bed	tcga_ah_6644_01a_21r_1830_07_bed	tcga_dc_4745_01a_01r_a32z_07_bed	tcga_ei_6917_01a_11r_1928_07_bed	tcga_ei_7004_01a_11r_1928_07_bed	tcga_ci_6621_01a_11r_1830_07_bed	tcga_ag_3896_01a_01r_1119_07_bed	tcga_ei_6507_01a_11r_1736_07_bed	tcga_ei_6511_01a_11r_1736_07_bed
SCFD1:ENSG00000092108:E13.1-E15.2|ENSG00000092108:E13.1-E14.1	0.81	0.73	0.84	0.82	0.84	0.76	0.79	0.82	0.77	0	0.83	0.92	0	0.83	0.84	0.83	0.9	0.84	0.88	0.86	0.86	0.76	0.82	0.73	0.76	0.82	0.8	0.87	0.77	0.71	0.8	0.76	0.82	0.8	0.86	0.79	0.81	0.88	0.88	0.82	0.82	0.82	0.92	0.78	0	0.88	0.79	0.86	0.89	0.76	0.69	0.76	0.81	0.86	0.72	0.8	0.65	0.82	0.84	0.79	0.94	0.83	0.92	0.88	0.85	0.89	0.86	0.9	0.76	0.94	0.85	0.62	0.83	0.87	0	0.85	0.75	0.82	0.88	0.61	0.76	0.82	0.84	0	0.76	0.82	0.77	0.89	0.82	0.97	0.86	0.86	0.79	0.88	0.9	0.89	0.88	1.0	0.9	0.86	0.89	0.8	0.83	1.0	0.83	0.67	0.77	0.86	0.77	0.87	0.76	0.87	0.85	0.79	0.96	0.78	0.9	0.92	0.85	0.94	0.82	0.87	0.71	0.92	0.85	0.83	0.89	0.85	0.79	0.88	0.8	0.81	0.82	0.78	0.84	0.87	0.88	0.9	0.75	0.91	0.88	0.84	0.86	0.87	0.7	0.87	0.82	0.94	0.93	0.59	0.9	0.8	0.6	0.8	0.75	0.42	0.73	0.86	0.85	0.73	0.85	0.84	0.82	0.86	0.84	0.73	0.88	0.88	0.83	0.81	0.77	0.83	0.85	0.76	0.84	0.88	0.78
CIRBP:ENSG00000099622:E9.41-E9.53|ENSG00000099622:E9.41-E10.1	0.66	0.48	0.41	0.56	0.75	0.6	0.78	0.41	0.47	0.36	0.71	0.56	0.1	0.26	0.38	0.69	0.43	0.52	0.55	0.73	0.61	0.5	0.7	0.49	0.79	0.47	0.66	0.76	0.34	0.73	0.41	0.53	0.7	0.55	0.64	0.63	0.45	0.62	0.57	0.69	0.53	0.57	0.26	0.61	0.44	0.71	0.25	0.6	0.23	0.73	0.23	0.74	0.64	0.78	0.48	0.25	0.73	0.75	0.35	0.59	0.25	0.66	0.46	0.52	0.54	0.54	0.52	0.68	0.69	0.42	0.88	0.34	0.65	0.65	0.76	0.5	0.5	0.55	0.71	0.21	0.61	0.46	0.68	0.28	0.33	0.29	0.8	0.54	0.63	0.43	0.58	0.64	0.75	0.44	0.55	0.48	0.56	0.49	0.3	0.17	0.59	0.68	0.52	0.28	0.82	0.45	0.56	0.78	0.24	0.45	0.41	0.77	0.73	0.65	0.25	0.55	0.22	0.6	0.62	0.31	0.36	0.49	0.25	0.27	0.55	0.59	0.73	0.25	0.68	0.57	0.48	0.68	0.54	0.72	0.64	0.44	0.42	0.7	0.57	0.65	0.35	0.43	0.65	0.52	0.49	0.69	0.79	0.51	0.71	0.37	0.72	0.58	0.74	0.47	0.58	0.41	0.78	0.41	0.72	0.58	0.4	0.75	0.73	0.41	0.62	0.48	0.41	0.58	0.37	0.72	0.8	0.5	0.6	0.61	0.57	0.63	0.74
SUN2:ENSG00000100242:E16.1-E17.1|ENSG00000100242:E16.1-E16.1	0.85	1.0	0.76	0.86	0.93	0.98	0.96	0.77	1.0	0.53	0.77	0.79	0	0.98	0.72	0.94	1.0	0.79	0.85	0.91	0.96	0.72	0.95	0.29	0.82	0.87	0.97	0.98	1.0	0.98	0.69	0.81	0.77	1.0	0.94	0.83	0.92	0.9	0.96	0.98	1.0	0.86	0.98	0.8	1.0	0.93	0.97	0.94	0.71	0.98	0.74	0.9	0.81	0.94	0.84	0.97	1.0	0.95	0.95	0.88	0.62	0.75	1.0	0.98	0.85	0.86	0.84	0.92	0.96	0.95	0.97	0.93	0.8	0.9	0.85	0.9	0.97	0.98	0.86	1.0	1.0	0.87	0.63	0.98	1.0	0.63	0.96	0.98	0.95	1.0	0.82	0.91	0.98	0.75	1.0	0.94	1.0	0.96	0.55	0.59	0.76	0.85	0.71	0.96	0.97	0.97	0.97	0.97	0.84	1.0	0.79	0.97	0.97	0.8	0.56	0.87	0.69	0.89	0.87	0.98	0.97	0.55	1.0	0.51	0.71	0.78	0.8	0.74	0.97	0.92	0.59	0.81	0.93	0.88	0.9	0.87	0.98	0.96	1.0	0.88	0.97	0.83	0.97	0.76	0.85	0.92	0.96	0.97	1.0	0.76	0.99	0.87	1.0	0.94	0.96	0.21	0.97	1.0	0.86	0.93	0.98	0.96	0.97	0.97	0.96	0.66	0.84	0.82	0.97	0.88	0.97	0.73	0.95	0.85	0.98	0.71	0.93
CHKB:ENSG00000100288:E2.9-E2.13|ENSG00000100288:E2.9-E2.11	0.76	0.95	0.82	1.0	0.97	0.9	1.0	0.93	0.96	0.89	0.71	0.73	0	0.89	0.89	0.9	0.86	1.0	0.82	0.97	0.89	0.87	0.93	0.85	1.0	0.89	0.89	0.94	0.93	0.88	0.8	0.81	0.82	0.94	0	0.83	0.7	0.88	1.0	0.92	1.0	0.8	0.73	0.78	0.92	0.91	0.9	0.68	0.83	0.91	0.75	0.93	0.92	0.96	0.83	0.94	0.96	0.88	0.79	0.84	0.65	0.93	0	0.83	1.0	0.93	0.92	0	0.94	1.0	0.89	0.73	0.72	0.95	0.75	0.85	0.95	1.0	0.93	0.91	0.97	0.9	0.77	1.0	1.0	0.84	0.89	0.95	0	1.0	0.8	1.0	0.89	0.79	1.0	1.0	0.56	0.96	0.7	0	0.83	0.75	0.85	1.0	0.97	0.9	0.91	0.85	0.6	0.83	0.73	1.0	0.93	0.87	0.89	0.87	0.91	0.86	0.93	0.95	0.91	0.62	1.0	0.87	0.87	0.86	0.86	0	0.88	0.78	0.81	0.92	0	0.92	0.8	0.78	0.83	0.81	0.83	0.91	0.93	0.9	0.8	0.88	0.85	0.84	0	0.92	0	0.96	0.92	0.87	0.88	0.89	0.89	0	0.83	0.94	0.9	0.95	0	0.91	0.92	0.89	0.82	0.78	0.89	0.88	1.0	0.81	0.88	0.79	0.96	0.96	1.0	0.84	0.84
ACO2:ENSG00000100412:E8.1-E9.1|ENSG00000100412:E8.1-E10.1	0.87	0.95	0.93	0.86	0.9	0.92	0.9	0.88	0.95	0.9	0.9	0.88	1.0	0.91	0.86	0.94	0.9	0.92	0.92	0.92	0.91	0.81	0.93	0.84	0.91	0.85	0.93	0.89	0.9	0.92	0.88	0.92	0.94	0.72	0.92	0.92	0.77	0.92	0.94	0.88	0.99	0.9	0.86	0.91	0.92	0.89	0.93	0.91	0.82	0.91	0.9	0.92	0.93	0.91	0.95	0.94	0.9	0.91	0.96	0.89	0.81	0.94	0.88	0.94	0.85	0.92	0.87	1.0	0.93	0.88	0.91	0.96	0.91	0.9	0.86	0.9	0.95	0.88	0.93	0.85	0.98	0.93	0.94	0.91	0.97	0.89	0.86	0.9	0.91	0.81	0.97	0.91	0.92	0.92	0.89	0.88	0.9	0.88	0.88	0.95	0.94	0.92	0.9	0.9	0.9	0.93	0.86	0.93	0.83	0.91	0.86	0.92	0.9	0.92	0.79	0.85	0.98	0.91	0.88	0.91	0.98	0.84	0.88	0.89	0.94	0.91	0.91	0.95	0.9	0.93	0.89	0.9	0.97	0.89	0.9	0.91	0.88	0.88	0.88	0.91	0.92	0.89	0.96	0.94	0.92	0.89	0.92	0.92	0.94	0.86	0.86	0.95	0.89	0.96	0.89	0.94	0.92	0.94	0.94	0.92	0.91	0.93	0.91	0.95	0.92	0.89	0.9	0.93	0.9	0.86	0.87	0.91	0.92	0.9	0.86	0.91	0.92
TRMU:ENSG00000100416:E8.1-E9.1|ENSG00000100416:E8.1-E9.3	0.47	0.76	0.46	0.72	0.77	0.88	0.62	0.67	0.58	0	0.75	0.63	0	0.67	0.55	0.79	0.75	0.56	0.84	0.63	0.74	0.53	0.7	0.51	0.75	0.69	0.77	0.75	0.67	0.68	0.62	0.69	0.7	0	0.57	0.79	0.71	0.69	0.76	0.72	0.81	0.69	0	0.66	0	0.43	0.74	0.83	0.57	0.65	0.75	0.67	0.75	0.83	0.53	0.68	0.7	0.6	0.59	0.56	0.25	0.55	0.59	0.86	0.84	0.61	0.71	0.85	0.67	0.73	0.87	0.76	0.72	0.52	0	0.68	0.37	0.87	0.72	0.79	0.64	0.67	0.75	0	0.46	0	0.75	0.71	0.5	0.56	0.69	0.6	0.68	0.65	0.33	0.72	0.8	0	0.52	0.67	0.7	0.64	0.55	0.75	0.74	0.58	0.5	0.69	0.78	0.62	0.54	0.74	0.36	0.59	0.6	0.89	0	0.53	0.69	0.41	0.6	0.56	0	0.83	0.92	0.44	0.74	0.78	0.66	0	0.71	0.75	0.75	0.66	0.67	0.7	0.47	0.78	0	0.82	0.56	0.75	0.86	0.6	0.47	0.57	0.87	0.8	0.88	0	0.55	0.44	0.67	0.82	0.8	0.4	0.41	0.56	0.72	0.62	0	0.59	0.29	0.61	0.55	0.53	0.57	0.59	0.75	0.35	0.78	0.72	0.76	0.75	0.83	0.71	0.75
SDR39U1:ENSG00000100445:E3.3-I3.1|ENSG00000100445:I2.3-E4.2	0.42	0.27	0.32	0.0	0.34	0.33	0.27	0.37	0.0	0.0	0.0	0.0	0	0.45	0.0	0.39	0.0	0.36	0.36	0.0	0.0	0.0	0.38	0.41	0.46	0.0	0.0	0.0	0.0	0.34	0.57	0.0	0.41	0.0	0.0	0.38	0.4	0.31	0.14	0.52	0.0	0.3	0.0	0.41	0.0	0.27	0.33	0.0	0.28	0.47	0.57	0.0	0.0	0.28	0.28	0.0	0.23	0.0	0.38	0.0	0.67	0.32	0.5	0.0	0.56	0.23	0.3	0.0	0.0	0.39	0.35	0.0	0.33	0.0	0.0	0.0	0.3	0.1	0.46	0.0	0.24	0.48	0.0	0.0	0.44	0.0	0.37	0.34	0.22	0.0	0.0	0.32	0.52	0.0	0.0	0.19	0.38	0.0	0.66	0.0	0.44	0.41	0.3	0.0	0.0	0.0	0.0	0.47	0.0	0.22	0.0	0.42	0.0	0.46	0.0	0.0	0.31	0.48	0.24	0.0	0.0	0.0	0.32	0.19	0.34	0.49	0.29	0.29	0.28	0.0	0.0	0.66	0.0	0.0	0.34	0.0	0.0	0.0	0.27	0.0	0.35	0.0	0.42	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.41	0.0	0.0	0.15	0.46	0.47	0.47	0.0	0.53	0.0	0.25	0.44	0.0	0.36	0.0	0.37	0.0	0.45	0.22	0.43	0.22	0.0	0.0	0.38	0.0	0.0	0.0
CCNB1IP1:ENSG00000100814:E10.5-E14.1|ENSG00000100814:E12.1-E14.1	0.87	0.96	0.96	0.9	0.83	0.93	0.86	0.83	0.95	1.0	0.77	0.72	0	0.96	0.74	0.83	0.88	0.91	0.89	0.78	0.88	0.86	0.79	0.8	0.87	0.79	0.88	0.9	0.8	0.86	0.94	0.9	0.81	0.93	0.9	0.92	0.91	0.85	0.86	0.94	0.94	0.88	0.9	0.87	0.94	0.76	0.98	0.75	0.9	0.88	0.92	0.85	0.82	0.83	0.45	0.86	0.78	0.87	0.91	0.85	0.9	0.74	0.98	0.89	0.84	0.96	0.84	0.86	0.84	0.82	0.88	0.85	0.88	0.73	0.8	0.75	0.9	0.98	0.91	0.96	0.86	0.89	0.91	1.0	0.81	0.85	0.93	0.93	0.94	0.92	0.9	0.85	0.88	0.87	0.76	0.8	0.93	0.89	0.81	0.92	0.85	0.77	0.91	0.97	0.83	0.94	0.92	0.91	0.84	0.92	0.85	0.76	0.82	0.92	0.92	0.8	0.93	0.74	0.85	0.85	0.89	0.78	0.93	1.0	0.91	0.84	0.83	0.94	0.86	0.98	0.78	0.86	0.93	0.9	0.93	0.92	0.91	0.87	0.97	0.82	0.89	0.85	0.89	0.64	0.86	0.89	0.89	0.96	0.93	1.0	0.88	0.83	0.95	0.96	0.92	0.89	0.89	0.95	0.91	0.91	0.93	0.87	0.87	0.91	0.9	0.91	0.88	0.88	0.85	0.56	0.93	0.88	0.87	0.81	0.92	0.51	0.82
CAPN15:ENSG00000103326:I13.1-E14.1|ENSG00000103326:E13.1-E14.1	0.11	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.05	0.0	0	0.0	0.12	0.0	0.0	0.1	0.06	0.0	0.0	0.17	0.0	0.14	0.0	0.06	0.0	0.0	0.14	0.07	0.19	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.22	0.09	0.12	0.0	0.32	0.0	0.0	0.0	0.1	0.0	0.11	0.0	0.11	0.16	0.0	0.0	0.14	0.0	0.3	0.21	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.07	0.0	0.28	0.08	0.17	0.11	0.05	0.27	0.0	0.09	0.0	0.13	0.14	0.0	0.05	0.0	0.0	0.0	0.15	0.08	0.0	0.12	0.16	0.0	0.0	0.0	0.1	0.12	0.0	0.0	0.08	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.28	0.1	0.18	0.0	0.09	0.17	0.0	0.27	0.0	0.0	0.18	0.0	0.0	0.12	0.0	0.06	0.0	0.0	0.0	0.0	0.08	0.0	0.14	0.0	0.0	0.0	0.2	0.1	0.12	0.11	0.16	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.11	0.0	0.08	0.0	0.08	0.0	0.0	0.0	0.08	0.0
PIEZO1:ENSG00000103335:E84.6-E86.12|ENSG00000103335:E86.5-E86.12	0.88	0.87	0.9	0.86	0.86	0.85	0.89	0.74	0.68	0.74	0.78	0.87	0.36	0.9	0.65	0.92	0.82	0.87	0.76	0.83	0.79	0.82	0.88	0.76	0.79	0.87	0.81	0.92	0.6	0.87	0.59	0.85	0.82	0.9	1.0	0.8	0.84	0.89	0.92	0.9	0.89	0.78	0.59	0.96	0.93	0.88	0.89	0.79	0.72	0.88	0.88	0.86	0.86	0.86	0.75	0.9	0.95	0.86	0.78	0.86	0.68	0.79	0.8	0.95	0.79	0.85	0.83	0.92	0.94	0.76	0.88	0.8	0.83	0.8	0.61	0.76	0.81	0.87	0.91	0.85	0.89	0.89	0.82	0.88	0.84	0.9	0.88	0.9	0.89	0.93	0.87	0.81	0.86	0.85	0.87	0.91	0.88	0.84	0.73	0.96	0.91	0.91	0.9	0.7	0.91	0.81	0.86	0.88	0.75	0.88	0.86	0.92	0.93	0.77	0.55	0.9	0.83	0.86	0.76	0.89	0.84	0.86	0.82	0.73	0.76	0.88	0.72	0.86	0.76	0.94	0.79	0.87	0.95	0.86	0.9	0.81	0.87	0.83	0.88	0.76	0.79	0.81	0.78	0.76	0.83	0.86	0.8	0.88	0.87	0.9	0.86	0.9	0.91	0.91	0.88	0.65	0.71	0.82	0.88	0.84	0.89	0.83	0.86	0.83	0.77	0.81	0.75	0.78	0.85	0.77	0.94	0.83	0.9	0.81	0.93	0.84	0.9
CD276:ENSG00000103855:E9.4-E10.1|ENSG00000103855:E8.6-E11.1	0.4	0.23	0.23	0.41	0.4	0.36	0.44	0.38	0.22	0.2	0.51	0.49	0	0.13	0.4	0.43	0.24	0.37	0.42	0.44	0.43	0.35	0.43	0.36	0.45	0.4	0.42	0.4	0.29	0.36	0.38	0.41	0.47	0.17	0.27	0.37	0.37	0.46	0.31	0.43	0.25	0.42	0.24	0.38	0.14	0.38	0.28	0.42	0.24	0.36	0.33	0.48	0.39	0.36	0.42	0.23	0.23	0.4	0.22	0.41	0.23	0.43	0.16	0.33	0.44	0.48	0.46	0.3	0.38	0.25	0.48	0.27	0.39	0.4	0.17	0.4	0.27	0.29	0.47	0.3	0.31	0.51	0.24	0.23	0.33	0.12	0.44	0.32	0.22	0.28	0.37	0.46	0.37	0.32	0.23	0.27	0.27	0.19	0.43	0.28	0.45	0.36	0.4	0.23	0.51	0.2	0.32	0.47	0.29	0.3	0.38	0.42	0.43	0.47	0.25	0.4	0.28	0.37	0.39	0.28	0.19	0.32	0.27	0.2	0.24	0.4	0.4	0.27	0.43	0.26	0.49	0.34	0.22	0.37	0.44	0.4	0.28	0.38	0.31	0.44	0.24	0.41	0.45	0.41	0.43	0.44	0.49	0.31	0.23	0.16	0.47	0.42	0.37	0.25	0.35	0.11	0.44	0.29	0.43	0.24	0.23	0.47	0.35	0.21	0.42	0.4	0.33	0.37	0.21	0.42	0.5	0.38	0.36	0.43	0.3	0.47	0.41
IKBKB:ENSG00000104365:E4.1-E5.1|ENSG00000104365:E3.1-E26.5	0.53	0.53	0.64	0.55	0.72	0.43	0.56	0.46	0	0.5	0.71	0.61	0.0	0.38	0.51	0.68	1.0	0.4	0.48	0.71	0.61	0.5	0.53	0.23	0.44	0.48	0.36	0.62	0.58	0.59	0.75	0.6	0.52	0.41	0	0.55	0	0.62	0.57	0.5	0	0.51	0.86	0.53	0.5	0.73	0.4	0.55	0.36	0.36	0.38	0.54	0.45	0.85	0.49	0.6	0.76	0.66	0.48	0.53	0	0.52	0.55	0	0.55	0.52	0.54	0.4	0.62	0.55	0.75	0.75	0.44	0.57	0.63	0.63	0.64	0.27	0.6	0.63	0.78	0.67	0.73	0.8	0.56	0	0.35	0	0.27	0	0.5	0.54	0.24	0.46	0.6	0	0.9	0.31	0.08	0.44	0.67	0.47	0.57	0.5	0.62	0.71	0	0.57	0.42	0.58	0.77	0.52	0.64	0.5	0.6	0.54	0	0.48	0.5	0.75	0.71	0.33	0.5	0.76	0.33	0.64	0.66	0.57	0.42	0.3	0.44	0.55	0	0.6	0.47	0.75	0.5	0.67	0.63	0.56	0.53	0.7	0.48	0.45	0.44	0.77	0.25	0	0.37	0.67	0.53	0.68	0	0	0.54	0	0.73	0.54	0.38	0.45	0	0.43	0.49	0.71	0.48	0.47	0.64	0.57	0.91	0.48	0.41	0.7	0.68	0.45	0.41	0.38	0.58
CLASRP:ENSG00000104859:E14.1-E15.2|ENSG00000104859:E14.2-E15.2	0.59	0.57	0.64	0.8	0.83	0.6	0.65	0.47	0.54	0.43	0.57	0.59	0.46	0.56	0.56	0.82	0.64	0.36	0.51	0.79	0.68	0.48	0.62	0.42	0.72	0.62	0.49	0.7	0.64	0.59	0.53	0.57	0.62	0.62	0.5	0.82	0.79	0.5	0.69	0.76	0.45	0.63	0.72	0.68	0.5	0.69	0.58	0.62	0.43	0.59	0.79	0.65	0.72	0.77	0.66	0.53	0.57	0.66	0.6	0.55	0.75	0.58	0.5	0.45	0.42	0.67	0.56	0.54	0.67	0.5	0.55	0.61	0.54	0.63	0.73	0.44	0.75	0.59	0.5	0.53	0.55	0.74	0.58	0.75	0.71	0.67	0.76	0.72	0.5	0.57	0.51	0.62	0.57	0.55	0.32	0.59	0.6	0.82	0.57	0.62	0.76	0.58	0.56	0.53	0.81	0.47	0.57	0.85	0.71	0.65	0.52	0.56	0.6	0.5	0.4	0.56	0.6	0.57	0.17	0	0.55	0.54	0.48	0	0.5	0.55	0.59	0.57	0.67	0.47	0.51	0.66	0.64	0.76	0.6	0.64	0.74	0.67	0.41	0.71	0.3	0.64	0.66	0.58	0.34	0.7	0.63	0.47	0.59	0.4	0.67	0.47	0	0.5	0.5	0.43	0.79	0.43	0.67	0.56	0.41	0.66	0.64	0.66	0.64	0.65	0.63	0.53	0.45	0.67	0.78	0.67	0.81	0.67	0.61	0.45	0.8
